cm3,kW,km,brand,make,price,year
1968,110,160000,Škoda,Superb,16800,2017
1995,135,187100,BMW,520,15500,2012
1995,135,195000,BMW,320,11499,2012
1600,84,75100,Subaru,Impreza,16700,2018
1968,120,212100,Audi,Q5,18100,2013
1364,103,102100,Opel,Mokka,11200,2014
1956,96,167100,Opel,Insignia,6300,2009
1998,88,75000,Mazda,CX-3,14700,2016
1968,110,167100,Volkswagen,Tiguan,21999,2016
1197,85,75100,Nissan,Juke,10999,2014
1199,60,106100,Citroen,C3,9900,2017
1248,63,156100,Fiat,500L,7200,2013
1598,81,212100,Audi,A3,10999,2014
1598,96,224000,Renault,Scenic,4900,2011
1968,103,241000,Volkswagen,Golf 6,9900,2011
1598,77,172102,Volkswagen,Golf 6,6899,2011
1248,44,166580,Fiat,Panda,,2006
1499,88,185849,Ford,Focus,8800,2015
1598,81,189211,Volkswagen,Golf 7,11500,2014
1199,60,124962,Citroen,C3,5400,2013
1560,70,190000,Ford,Fiesta,4899,2011
1995,105,202000,MINI,Countryman,9900,2013
1242,44,200640,Fiat,Panda,2850,2007
1589,74,164976,Peugeot,308,8250,2017
1995,110,154890,BMW,318,24250,2019
1199,55,189000,Volkswagen,Polo,5499,2013
1995,130,310000,BMW,320,6200,2009
1496,85,181000,BMW,116,17350,2020
1995,105,198000,MINI,Countryman,15499,2015
1598,85,156000,Volkswagen,T-Roc,17999,2019
1600,77,174000,Volkswagen,Touran,9250,2013
1560,66,191000,Citroen,C4,2599,2006
2993,225,225993,BMW,X6,20500,2013
1390,103,195925,Volkswagen,Touran,6999,2011
1984,220,24300,Audi,A6,47900,2020
1896,77,198000,Audi,A3,4650,2005
1995,140,220000,BMW,420,,2016
1950,143,257000,Mercedes Benz,E 220,29800,2017
1199,61,153275,Citroen,C3,8999,2019
2967,150,245000,Volkswagen,Touareg,,2017
1896,85,310000,Ford,Galaxy,2199,2003
1995,140,42950,BMW,X3,58900,2022
1598,77,189583,Volkswagen,Golf 6,6290,2010
1598,66,177738,Volkswagen,Polo,5590,2010
1997,120,185003,Peugeot,3008,8999,2013
2148,90,211381,Mercedes Benz,CLC 200,5950,2008
1997,120,189590,Ford,Kuga,8590,2011
1968,140,315000,Škoda,Kodiaq,17000,2017
2925,243,62700,Mercedes Benz,GLE 400,77800,2021
1598,81,147500,Opel,Astra J,7800,2018
2925,250,104500,Mercedes Benz,CLS 400,57000,2019
2268,110,160000,Mitsubishi,Outlander,12499,2014
1994,110,230000,Nissan,Qashqai,5999,2008
1686,81,242000,Opel,Astra J,,2011
1968,85,100000,Volkswagen,Tiguan,,2017
1968,147,46000,Audi,Q3,38900,2020
1995,135,215280,BMW,X1,11800,2012
2967,155,108000,Audi,A6 Allroad,25900,2015
1968,130,197256,Volkswagen,Passat B7 Alltrack,10500,2014
1968,110,250000,Volkswagen,Tiguan,23500,2017
1198,51,210000,Seat,Ibiza,,2012
1242,51,150000,Ford,Ka,3499,2010
1396,103,190230,Volkswagen,Touran,8350,2011
1910,88,231000,Alfa Romeo,147,1700,2007
1600,81,168123,Opel,Astra K,8499,2016
1560,66,235847,Ford,Focus,3300,2010
